mechanism,file_status,category,relative_path,source_path,base_path,bytes,keyword_hits,sim_hook,paper_use_policy
mactree,modified,rtl,rtl/e203/core/e203_exu_alu.v,mactree\flood\rtl\e203\core\e203_exu_alu.v,FLOOD\rtl\e203\core\e203_exu_alu.v,35926,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_alu_bjp.v,mactree\flood\rtl\e203\core\e203_exu_alu_bjp.v,FLOOD\rtl\e203\core\e203_exu_alu_bjp.v,4975,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_alu_csrctrl.v,mactree\flood\rtl\e203\core\e203_exu_alu_csrctrl.v,FLOOD\rtl\e203\core\e203_exu_alu_csrctrl.v,5724,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_alu_dpath.v,mactree\flood\rtl\e203\core\e203_exu_alu_dpath.v,FLOOD\rtl\e203\core\e203_exu_alu_dpath.v,17291,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_alu_lsuagu.v,mactree\flood\rtl\e203\core\e203_exu_alu_lsuagu.v,FLOOD\rtl\e203\core\e203_exu_alu_lsuagu.v,29779,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_alu_muldiv.v,mactree\flood\rtl\e203\core\e203_exu_alu_muldiv.v,FLOOD\rtl\e203\core\e203_exu_alu_muldiv.v,31149,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_alu_rglr.v,mactree\flood\rtl\e203\core\e203_exu_alu_rglr.v,FLOOD\rtl\e203\core\e203_exu_alu_rglr.v,4850,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_branchslv.v,mactree\flood\rtl\e203\core\e203_exu_branchslv.v,FLOOD\rtl\e203\core\e203_exu_branchslv.v,6101,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_commit.v,mactree\flood\rtl\e203\core\e203_exu_commit.v,FLOOD\rtl\e203\core\e203_exu_commit.v,12641,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_csr.v,mactree\flood\rtl\e203\core\e203_exu_csr.v,FLOOD\rtl\e203\core\e203_exu_csr.v,26723,precision,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_decode.v,mactree\flood\rtl\e203\core\e203_exu_decode.v,FLOOD\rtl\e203\core\e203_exu_decode.v,54374,group;zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_disp.v,mactree\flood\rtl\e203\core\e203_exu_disp.v,FLOOD\rtl\e203\core\e203_exu_disp.v,14455,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_excp.v,mactree\flood\rtl\e203\core\e203_exu_excp.v,FLOOD\rtl\e203\core\e203_exu_excp.v,26989,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_longpwbck.v,mactree\flood\rtl\e203\core\e203_exu_longpwbck.v,FLOOD\rtl\e203\core\e203_exu_longpwbck.v,7702,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_nice.v,mactree\flood\rtl\e203\core\e203_exu_nice.v,FLOOD\rtl\e203\core\e203_exu_nice.v,5112,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_oitf.v,mactree\flood\rtl\e203\core\e203_exu_oitf.v,FLOOD\rtl\e203\core\e203_exu_oitf.v,7182,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_regfile.v,mactree\flood\rtl\e203\core\e203_exu_regfile.v,FLOOD\rtl\e203\core\e203_exu_regfile.v,5007,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_exu_wbck.v,mactree\flood\rtl\e203\core\e203_exu_wbck.v,FLOOD\rtl\e203\core\e203_exu_wbck.v,4903,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/core/e203_ifu.v,mactree\flood\rtl\e203\core\e203_ifu.v,FLOOD\rtl\e203\core\e203_ifu.v,9240,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
