result_dir,table,workload_id,interval_rows,timeline_start,timeline_end,summary_total_key,summary_total,status,issues
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_004_op_00007,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_005_op_00008,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_006_op_00009,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_007_op_00010,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_008_op_00011,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_009_op_00012,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_010_op_00013,120,0,6375,total_cycles,6375,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_011_op_00014,128,0,6976,total_cycles,6976,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_012_op_00015,128,0,7242,total_cycles,7242,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_013_op_00016,512,0,27328,total_cycles,27328,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_014_op_00020,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_015_op_00023,8,0,427,total_cycles,427,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_016_op_00026,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_017_op_00027,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_018_op_00028,32,0,1744,total_cycles,1744,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,cycle_intervals,gemm_019_op_00029,32,0,1744,total_cycles,1744,pass,
